,neu,Datum
Aachen,12,10_05_2021
Aachen,13,10_15_2021
Aachen,0,10_15_2021
Aachen,0,10_15_2021
Aachen,18,10_15_2021
Aachen,18,10_15_2021
Aachen,15,10_15_2021
Aachen,17,10_15_2021
Aachen,17,10_15_2021
Aachen,12,10_15_2021
Aachen,0,10_15_2021
Aachen,0,10_15_2021
Aachen,29,10_15_2021
Aachen,14,10_15_2021
Aachen,18,10_15_2021
Aachen,10,10_15_2021
Alsdorf,8,10_05_2021
Alsdorf,2,10_05_2021
Alsdorf,0,10_05_2021
Alsdorf,0,10_05_2021
Alsdorf,1,10_05_2021
Alsdorf,3,10_08_2021
Alsdorf,2,10_08_2021
Alsdorf,2,10_15_2021
Alsdorf,2,10_15_2021
Alsdorf,2,10_15_2021
Alsdorf,0,10_15_2021
Alsdorf,0,10_15_2021
Alsdorf,6,10_15_2021
Alsdorf,3,10_15_2021
Alsdorf,4,10_15_2021
Alsdorf,4,10_15_2021
Baesweiler,1,10_05_2021
Baesweiler,7,10_05_2021
Baesweiler,0,10_05_2021
Baesweiler,0,10_05_2021
Baesweiler,5,10_05_2021
Baesweiler,6,10_08_2021
Baesweiler,1,10_08_2021
Baesweiler,6,10_15_2021
Baesweiler,6,10_15_2021
Baesweiler,1,10_15_2021
Baesweiler,0,10_15_2021
Baesweiler,0,10_15_2021
Baesweiler,2,10_15_2021
Baesweiler,4,10_15_2021
Baesweiler,3,10_15_2021
Baesweiler,3,10_15_2021
Eschweiler,8,10_15_2021
Eschweiler,2,10_05_2021
Eschweiler,0,10_05_2021
Eschweiler,0,10_05_2021
Eschweiler,11,10_05_2021
Eschweiler,5,10_08_2021
Eschweiler,9,10_08_2021
Eschweiler,3,10_08_2021
Eschweiler,3,10_15_2021
Eschweiler,9,10_15_2021
Eschweiler,0,10_15_2021
Eschweiler,0,10_15_2021
Eschweiler,5,10_15_2021
Eschweiler,1,10_15_2021
Eschweiler,7,10_15_2021
Eschweiler,2,10_15_2021
Herzogenrath,3,10_05_2021
Herzogenrath,2,10_05_2021
Herzogenrath,0,10_05_2021
Herzogenrath,0,10_05_2021
Herzogenrath,3,10_05_2021
Herzogenrath,7,10_08_2021
Herzogenrath,5,10_08_2021
Herzogenrath,4,10_08_2021
Herzogenrath,4,10_15_2021
Herzogenrath,1,10_15_2021
Herzogenrath,0,10_15_2021
Herzogenrath,0,10_15_2021
Herzogenrath,5,10_15_2021
Herzogenrath,1,10_15_2021
Herzogenrath,4,10_15_2021
Herzogenrath,2,10_15_2021
Monschau,0,10_05_2021
Monschau,0,10_05_2021
Monschau,0,10_05_2021
Monschau,0,10_05_2021
Monschau,0,10_05_2021
Monschau,0,10_08_2021
Monschau,0,10_08_2021
Monschau,0,10_15_2021
Monschau,0,10_15_2021
Monschau,0,10_15_2021
Monschau,0,10_15_2021
Monschau,0,10_15_2021
Monschau,0,10_15_2021
Monschau,0,10_15_2021
Monschau,2,10_15_2021
Monschau,0,10_15_2021
Roetgen,0,10_05_2021
Roetgen,0,10_05_2021
Roetgen,0,10_05_2021
Roetgen,0,10_05_2021
Roetgen,0,10_05_2021
Roetgen,0,10_08_2021
Roetgen,0,10_08_2021
Roetgen,0,10_15_2021
Roetgen,0,10_15_2021
Roetgen,1,10_15_2021
Roetgen,0,10_15_2021
Roetgen,0,10_15_2021
Roetgen,3,10_15_2021
Roetgen,2,10_15_2021
Roetgen,1,10_15_2021
Roetgen,0,10_15_2021
Simmerath,1,10_05_2021
Simmerath,0,10_05_2021
Simmerath,0,10_05_2021
Simmerath,0,10_05_2021
Simmerath,1,10_05_2021
Simmerath,0,10_08_2021
Simmerath,0,10_08_2021
Simmerath,2,10_15_2021
Simmerath,2,10_15_2021
Simmerath,0,10_15_2021
Simmerath,0,10_15_2021
Simmerath,0,10_15_2021
Simmerath,1,10_15_2021
Simmerath,0,10_15_2021
Simmerath,0,10_15_2021
Simmerath,0,10_15_2021
Städteregion,47,10_15_2021
Städteregion,30,10_15_2021
Städteregion,0,10_15_2021
Städteregion,0,10_15_2021
Städteregion,46,10_15_2021
Städteregion,48,10_15_2021
Städteregion,40,10_15_2021
Städteregion,45,10_15_2021
Städteregion,45,10_15_2021
Städteregion,30,10_15_2021
Städteregion,0,10_15_2021
Städteregion,0,10_15_2021
Städteregion,61,10_15_2021
Städteregion,29,10_15_2021
Städteregion,47,10_15_2021
Städteregion,29,10_15_2021
Stolberg,7,10_05_2021
Stolberg,2,10_05_2021
Stolberg,0,10_05_2021
Stolberg,0,10_05_2021
Stolberg,4,10_05_2021
Stolberg,4,10_08_2021
Stolberg,2,10_08_2021
Stolberg,10,10_15_2021
Stolberg,10,10_15_2021
Stolberg,3,10_15_2021
Stolberg,0,10_15_2021
Stolberg,0,10_15_2021
Stolberg,6,10_15_2021
Stolberg,2,10_15_2021
Stolberg,7,10_15_2021
Stolberg,7,10_15_2021
Würselen,7,10_05_2021
Würselen,2,10_05_2021
Würselen,0,10_05_2021
Würselen,0,10_05_2021
Würselen,3,10_05_2021
Würselen,5,10_08_2021
Würselen,3,10_08_2021
Würselen,2,10_15_2021
Würselen,2,10_15_2021
Würselen,2,10_15_2021
Würselen,0,10_15_2021
Würselen,0,10_15_2021
Würselen,5,10_15_2021
Würselen,2,10_15_2021
Würselen,1,10_15_2021
Würselen,1,10_15_2021
