AGS,Gemeinde,Einwohner,7-Tage-Inzidenz,last7
06531001,Allendorf (Lumda),4067,0.0,0.0
06531002,Biebertal,10048,39.8,4.0
06531003,Buseck,12879,54.4,7.0
06531004,Fernwald,6911,86.8,6.0
06531005,Gießen,89802,88.0,79.0
06531006,Grünberg,13612,88.2,12.0
06531007,Heuchelheim,7819,115.1,9.0
06531008,Hungen,12596,23.8,3.0
06531009,Langgöns,11690,94.1,11.0
06531010,Laubach,9598,10.4,1.0
06531011,Lich,13795,29.0,4.0
06531012,Linden,13091,30.6,4.0
06531013,Lollar,10309,116.4,12.0
06531014,Pohlheim,18138,104.8,19.0
06531015,Rabenau,5036,0.0,0.0
06531016,Reiskirchen,10248,19.5,2.0
06531017,Staufenberg,8471,23.6,2.0
06531018,Wettenberg,12578,71.6,9.0
