AGS,Gemeinde,Einwohner,7-Tage-Inzidenz,last7
06531001,Allendorf (Lumda),4067,73.8,3.0
06531002,Biebertal,10048,49.8,5.0
06531003,Buseck,12879,15.5,2.0
06531004,Fernwald,6911,86.8,6.0
06531005,Gießen,89802,35.6,32.0
06531006,Grünberg,13612,22.0,3.0
06531007,Heuchelheim,7819,25.6,2.0
06531008,Hungen,12596,15.9,2.0
06531009,Langgöns,11690,34.2,4.0
06531010,Laubach,9598,10.4,1.0
06531011,Lich,13795,14.5,2.0
06531012,Linden,13091,68.7,9.0
06531013,Lollar,10309,9.7,1.0
06531014,Pohlheim,18138,60.6,11.0
06531015,Rabenau,5036,19.9,1.0
06531016,Reiskirchen,10248,19.5,2.0
06531017,Staufenberg,8471,23.6,2.0
06531018,Wettenberg,12578,31.8,4.0
