AGS,Gemeinde,Einwohner,7-Tage-Inzidenz,last7
06531001,Allendorf (Lumda),4067,73.8,3.0
06531002,Biebertal,10048,179.1,18.0
06531003,Buseck,12879,62.1,8.0
06531004,Fernwald,6911,260.5,18.0
06531005,Gießen,89802,172.6,155.0
06531006,Grünberg,13612,220.4,30.0
06531007,Heuchelheim,7819,127.9,10.0
06531008,Hungen,12596,182.6,23.0
06531009,Langgöns,11690,299.4,35.0
06531010,Laubach,9598,260.5,25.0
06531011,Lich,13795,239.2,33.0
06531012,Linden,13091,152.8,20.0
06531013,Lollar,10309,135.8,14.0
06531014,Pohlheim,18138,270.2,49.0
06531015,Rabenau,5036,39.7,2.0
06531016,Reiskirchen,10248,146.4,15.0
06531017,Staufenberg,8471,271.5,23.0
06531018,Wettenberg,12578,151.1,19.0
