AGS,Gemeinde,Einwohner,7-Tage-Inzidenz,last7
06531001,Allendorf (Lumda),4067,24.6,1
06531002,Biebertal,10048,49.8,5
06531003,Buseck,12879,62.1,8
06531004,Fernwald,6911,28.9,2
06531005,Gießen,89802,155.9,140
06531006,Grünberg,13612,51.4,7
06531007,Heuchelheim,7819,89.5,7
06531008,Hungen,12596,47.6,6
06531009,Langgöns,11690,8.6,1
06531010,Laubach,9598,10.4,1
06531011,Lich,13795,65.2,9
06531012,Linden,13091,106.9,14
06531013,Lollar,10309,174.6,18
06531014,Pohlheim,18138,148.9,27
06531015,Rabenau,5036,19.9,1
06531016,Reiskirchen,10248,39,4
06531017,Staufenberg,8471,35.4,3
06531018,Wettenberg,12578,39.8,5
