AGS,Gemeinde,Einwohner,7-Tage-Inzidenz,last7
06531001,Allendorf (Lumda),4067,0.0,0.0
06531002,Biebertal,10048,0.0,0.0
06531003,Buseck,12879,23.3,3.0
06531004,Fernwald,6911,43.4,3.0
06531005,Gießen,89802,29.0,26.0
06531006,Grünberg,13612,0.0,0.0
06531007,Heuchelheim,7819,0.0,0.0
06531008,Hungen,12596,0.0,0.0
06531009,Langgöns,11690,8.6,1.0
06531010,Laubach,9598,10.4,1.0
06531011,Lich,13795,7.2,1.0
06531012,Linden,13091,0.0,0.0
06531013,Lollar,10309,19.4,2.0
06531014,Pohlheim,18138,33.1,6.0
06531015,Rabenau,5036,19.9,1.0
06531016,Reiskirchen,10248,19.5,2.0
06531017,Staufenberg,8471,0.0,0.0
06531018,Wettenberg,12578,15.9,2.0
