AGS,Gemeinde,Einwohner,7-Tage-Inzidenz,last7
06531001,Allendorf (Lumda),4067,0.0,0.0
06531002,Biebertal,10048,59.7,6.0
06531003,Buseck,12879,93.2,12.0
06531004,Fernwald,6911,43.4,3.0
06531005,Gießen,89802,118.0,106.0
06531006,Grünberg,13612,14.7,2.0
06531007,Heuchelheim,7819,102.3,8.0
06531008,Hungen,12596,15.9,2.0
06531009,Langgöns,11690,102.7,12.0
06531010,Laubach,9598,10.4,1.0
06531011,Lich,13795,50.7,7.0
06531012,Linden,13091,76.4,10.0
06531013,Lollar,10309,135.8,14.0
06531014,Pohlheim,18138,148.9,27.0
06531015,Rabenau,5036,19.9,1.0
06531016,Reiskirchen,10248,58.5,6.0
06531017,Staufenberg,8471,59.0,5.0
06531018,Wettenberg,12578,63.6,8.0
