,"""Bestätigte Fälle""","""Tägliche Zahl der Neuinfektionen""",Datum
Lichtenau,255,0,06_19_2021
(gesamter Kreis),10556,5,06_19_2021
(nicht zuordnebar),0,0,06_20_2021
Altenbeken,374,0,06_20_2021
Bad Lippspringe,655,0,06_20_2021
Delbrück,1267,0,06_20_2021
Borchen,431,0,06_20_2021
Büren,573,0,06_20_2021
Hövelhof,646,0,06_20_2021
Salzkotten,725,0,06_20_2021
Bad Wünnenberg,522,0,06_20_2021
Paderborn,5108,0,06_20_2021
Lichtenau,255,0,06_20_2021
(gesamter Kreis),10556,0,06_20_2021
(nicht zuordnebar),0,0,06_21_2021
Bad Lippspringe,655,0,06_21_2021
Bad Wünnenberg,522,0,06_21_2021
Hövelhof,646,0,06_21_2021
Paderborn,5108,0,06_21_2021
Salzkotten,725,0,06_21_2021
Altenbeken,374,0,06_21_2021
Büren,573,0,06_21_2021
Borchen,431,0,06_21_2021
Delbrück,1267,0,06_21_2021
Lichtenau,255,0,06_21_2021
(gesamter Kreis),10556,0,06_21_2021
Hövelhof,648,2,06_22_2021
Lichtenau,255,0,06_22_2021
Büren,574,1,06_22_2021
Paderborn,5108,0,06_22_2021
Bad Wünnenberg,522,0,06_22_2021
Altenbeken,374,0,06_22_2021
Salzkotten,726,1,06_22_2021
Bad Lippspringe,655,0,06_22_2021
Delbrück,1267,0,06_22_2021
Borchen,431,0,06_22_2021
(gesamter Kreis),10560,4,06_22_2021
(nicht zuordnebar),0,0,06_22_2021
(nicht zuordnebar),0,0,06_23_2021
Bad Wünnenberg,522,0,06_23_2021
Büren,575,1,06_23_2021
Borchen,431,0,06_23_2021
Lichtenau,256,1,06_23_2021
Delbrück,1267,0,06_23_2021
Altenbeken,374,0,06_23_2021
Salzkotten,726,0,06_23_2021
Hövelhof,647,-1,06_23_2021
Bad Lippspringe,657,2,06_23_2021
Paderborn,5107,-1,06_23_2021
(gesamter Kreis),10562,2,06_23_2021
(nicht zuordnebar),0,0,06_24_2021
Hövelhof,646,-1,06_24_2021
Büren,576,1,06_24_2021
Delbrück,1267,0,06_24_2021
Paderborn,5109,2,06_24_2021
Lichtenau,256,0,06_24_2021
Altenbeken,375,1,06_24_2021
Borchen,431,0,06_24_2021
Bad Lippspringe,657,0,06_24_2021
Salzkotten,729,3,06_24_2021
Bad Wünnenberg,522,0,06_24_2021
(gesamter Kreis),10568,6,06_24_2021
(nicht zuordnebar),0,0,06_25_2021
Altenbeken,375,0,06_25_2021
Bad Wünnenberg,522,0,06_25_2021
Delbrück,1267,0,06_25_2021
Lichtenau,256,0,06_25_2021
Büren,576,0,06_25_2021
Salzkotten,729,0,06_25_2021
Borchen,431,0,06_25_2021
Hövelhof,646,0,06_25_2021
Paderborn,5109,0,06_25_2021
Bad Lippspringe,657,0,06_25_2021
(gesamter Kreis),10568,0,06_25_2021
(nicht zuordnebar),0,0,06_26_2021
Salzkotten,729,0,06_26_2021
Lichtenau,256,0,06_26_2021
Hövelhof,646,0,06_26_2021
Büren,576,0,06_26_2021
Altenbeken,375,0,06_26_2021
Borchen,431,0,06_26_2021
Delbrück,1267,0,06_26_2021
Bad Lippspringe,657,0,06_26_2021
Bad Wünnenberg,522,0,06_26_2021
Paderborn,5109,0,06_26_2021
(gesamter Kreis),10568,0,06_26_2021
(nicht zuordnebar),0,0,06_27_2021
Lichtenau,256,0,06_27_2021
Büren,576,0,06_27_2021
Salzkotten,729,0,06_27_2021
Delbrück,1267,0,06_27_2021
Altenbeken,375,0,06_27_2021
Bad Lippspringe,657,0,06_27_2021
Hövelhof,646,0,06_27_2021
Bad Wünnenberg,522,0,06_27_2021
Paderborn,5109,0,06_27_2021
Borchen,431,0,06_27_2021
(gesamter Kreis),10568,0,06_27_2021
(nicht zuordnebar),0,0,06_28_2021
Borchen,431,0,06_28_2021
Lichtenau,256,0,06_28_2021
Bad Lippspringe,657,0,06_28_2021
Altenbeken,375,0,06_28_2021
Salzkotten,730,1,06_28_2021
Hövelhof,646,0,06_28_2021
Bad Wünnenberg,522,0,06_28_2021
Delbrück,1268,1,06_28_2021
Paderborn,5109,0,06_28_2021
Büren,576,0,06_28_2021
(gesamter Kreis),10570,2,06_28_2021
(nicht zuordnebar),0,0,06_29_2021
Borchen,432,1,06_29_2021
Bad Lippspringe,657,0,06_29_2021
Büren,577,1,06_29_2021
Hövelhof,648,2,06_29_2021
Salzkotten,732,2,06_29_2021
Lichtenau,256,0,06_29_2021
Bad Wünnenberg,523,1,06_29_2021
Altenbeken,375,0,06_29_2021
Paderborn,5111,2,06_29_2021
Delbrück,1268,0,06_29_2021
(gesamter Kreis),10579,9,06_29_2021
(gesamter Kreis),10582,3,06_30_2021
Hövelhof,647,-1,06_30_2021
Altenbeken,375,0,06_30_2021
Büren,577,0,06_30_2021
Paderborn,5114,3,06_30_2021
Lichtenau,256,0,06_30_2021
Salzkotten,733,1,06_30_2021
Borchen,432,0,06_30_2021
Bad Lippspringe,657,0,06_30_2021
Delbrück,1268,0,06_30_2021
Bad Wünnenberg,523,0,06_30_2021
(nicht zuordnebar),0,0,06_30_2021
