Kommune,Infizierte gesamt,Fälle seit Vortagsmeldung
Aschheim,447,0
Aying,194,1
Baierbrunn,124,0
Brunnthal,180,0
Feldkirchen,250,0
Garching,842,0
Gräfelfing,548,0
Grasbrunn,209,0
Grünwald,502,0
Haar,1452,0
Hohenbrunn,256,2
Höhenkirchen-Siegertsbrunn,411,0
Ismaning,669,0
Kirchheim,434,0
Neubiberg,556,2
Neuried,326,0
Oberhaching,625,1
Oberschleißheim,550,0
Ottobrunn,1038,0
Planegg,444,0
Pullach,481,1
Putzbrunn,293,0
Sauerlach,248,0
Schäftlarn,193,0
Straßlach-Dingharting,105,0
Taufkirchen,889,1
Unterföhring,494,0
Unterhaching,991,0
Unterschleißheim,1406,2
