Kommune,Infizierte gesamt,Fälle seit Vortagsmeldung
Aschheim,448,0
Aying,194,0
Baierbrunn,124,0
Brunnthal,182,0
Feldkirchen,250,0
Garching,847,0
Gräfelfing,549,0
Grasbrunn,213,0
Grünwald,502,0
Haar,1454,0
Hohenbrunn,256,0
Höhenkirchen-Siegertsbrunn,414,0
Ismaning,671,0
Kirchheim,436,0
Neubiberg,556,0
Neuried,326,0
Oberhaching,630,1
Oberschleißheim,555,1
Ottobrunn,1037,0
Planegg,446,0
Pullach,487,0
Putzbrunn,293,0
Sauerlach,250,0
Schäftlarn,192,0
Straßlach-Dingharting,105,0
Taufkirchen,895,1
Unterföhring,497,0
Unterhaching,991,0
Unterschleißheim,1419,0
