,AGS,Gemeinde/Stadt,Pos in Qua
0,85391,Allershausen,1
1,85395,Attenkirchen,2
2,84072,Au i.d.Hallertau,1
3,85386,Eching – Oberbayern,0
4,85777,Fahrenzhausen,1
5,85356,Freising,17
6,85408,Gammelsdorf,0
7,85410,Haag a.d.Amper,0
8,85399,Hallbergmoos,3
9,85411,Hohenkammer,0
10,85413,Hörgertshausen,0
11,85414,Kirchdorf a.d.Amper,0
12,85402,Kranzberg,0
13,85416,Langenbach,0
14,85417,Marzling,0
15,85419,Mauern,0
16,85368,Moosburg a.d.Isar,3
17,85405,Nandlstadt,0
18,85376,Neufahrn b.Freising,2
19,85307,Paunzhausen,0
20,84104,Rudelzhausen,0
21,85368,Wang,0
22,85395,Wolfersdorf,0
23,85406,Zolling,3
