,AGS,Gemeinde/Stadt,Pos in Qua
0,85391,Allershausen,0.0
1,85395,Attenkirchen,0.0
2,84072,Au i.d.Hallertau,0.0
3,85386,Eching – Oberbayern,1.0
4,85777,Fahrenzhausen,1.0
5,85356,Freising,23.0
6,85408,Gammelsdorf,0.0
7,85410,Haag a.d.Amper,0.0
8,85399,Hallbergmoos,7.0
9,85411,Hohenkammer,0.0
10,85413,Hörgertshausen,0.0
11,85414,Kirchdorf a.d.Amper,0.0
12,85402,Kranzberg,0.0
13,85416,Langenbach,0.0
14,85417,Marzling,0.0
15,85419,Mauern,0.0
16,85368,Moosburg a.d.Isar,3.0
17,85405,Nandlstadt,0.0
18,85376,Neufahrn b.Freising,7.0
19,85307,Paunzhausen,0.0
20,84104,Rudelzhausen,1.0
21,85368,Wang,0.0
22,85395,Wolfersdorf,1.0
23,85406,Zolling,2.0
