,AGS,Gemeinde/Stadt,Pos in Qua
0,85391,Allershausen,16
1,85395,Attenkirchen,1.0
2,84072,Au i.d.Hallertau,8.0
3,85386,Eching – Oberbayern,31.0
4,85777,Fahrenzhausen,3.0
5,85356,Freising,107.0
6,85408,Gammelsdorf,2.0
7,85410,Haag a.d.Amper,5.0
8,85399,Hallbergmoos,23.0
9,85411,Hohenkammer,4.0
10,85413,Hörgertshausen,0
11,85414,Kirchdorf a.d.Amper,3.0
12,85402,Kranzberg,7.0
13,85416,Langenbach,3.0
14,85417,Marzling,4.0
15,85419,Mauern,1.0
16,85368,Moosburg a.d.Isar,38.0
17,85405,Nandlstadt,4.0
18,85376,Neufahrn b.Freising,29.0
19,85307,Paunzhausen,3.0
20,84104,Rudelzhausen,7.0
21,85368,Wang,2.0
22,85395,Wolfersdorf,5.0
23,85406,Zolling,6.0
