,AGS,Gemeinde/Stadt,Pos in Qua
0,85391,Allershausen,22
1,85395,Attenkirchen,1
2,84072,Au i.d.Hallertau,9
3,85386,Eching – Oberbayern,21
4,85777,Fahrenzhausen,16
5,85356,Freising,114
6,85408,Gammelsdorf,2
7,85410,Haag a.d.Amper,1
8,85399,Hallbergmoos,26
9,85411,Hohenkammer,4
10,85413,Hörgertshausen,1
11,85414,Kirchdorf a.d.Amper,6
12,85402,Kranzberg,11
13,85416,Langenbach,3
14,85417,Marzling,5
15,85419,Mauern,2
16,85368,Moosburg a.d.Isar,25
17,85405,Nandlstadt,7
18,85376,Neufahrn b.Freising,25
19,85307,Paunzhausen,2
20,84104,Rudelzhausen,4
21,85368,Wang,2
22,85395,Wolfersdorf,4
23,85406,Zolling,7
