,AGS,Gemeinde/Stadt,Pos in Qua
0,85391,Allershausen,24
1,85395,Attenkirchen,0
2,84072,Au i.d.Hallertau,6.0
3,85386,Eching – Oberbayern,21.0
4,85777,Fahrenzhausen,8.0
5,85356,Freising,107.0
6,85408,Gammelsdorf,0
7,85410,Haag a.d.Amper,4.0
8,85399,Hallbergmoos,12.0
9,85411,Hohenkammer,2.0
10,85413,Hörgertshausen,0
11,85414,Kirchdorf a.d.Amper,2.0
12,85402,Kranzberg,3.0
13,85416,Langenbach,1.0
14,85417,Marzling,1.0
15,85419,Mauern,3.0
16,85368,Moosburg a.d.Isar,31.0
17,85405,Nandlstadt,4.0
18,85376,Neufahrn b.Freising,33.0
19,85307,Paunzhausen,0
20,84104,Rudelzhausen,2.0
21,85368,Wang,0
22,85395,Wolfersdorf,1.0
23,85406,Zolling,3.0
