,05_13_2021
Westerheim,0
Schelklingen,0
Laichingen,9
Heroldstatt,1
Allmendingen,3
Blaubeuren,9
Merklingen,0
Berghülen,0
Nellingen,0
Altheim,0
Öpfingen,0
Oberdischingen,0
Erbach,0
Blaustein,3
Dornstadt,2
Amstetten,4
Lonsee,0
Westerstetten,0
Beimerstetten,0
Weidenstetten,0
Staig,1
Altheim (Alb),0
Holzkirch,0
Breitingen,0
Illerkirchberg,0
Bernstadt,0
Langenau,7
Neenstetten,0
Börslingen,0
Ballendorf,0
Nerenstetten,0
Setzingen,0
Öllingen,0
Rammingen,0
Asselfingen,0
Balzheim,0
Grundsheim,0
Oberstadion,0
Emerkingen,0
Obermarchtal,0
Unterwachingen,0
Unterstadion,0
Dietenheim,1
Hausen am Bussen,0
Ehingen (Donau),3
Munderkingen,0
Rottenacker,1
Untermarchtal,0
Lauterach,0
Illerrieden,0
Schnürpflingen,0
Griesingen,0
Hüttisheim,0
Emeringen,0
Rechtenstein,0
Ulm,29
